,city,city_id,cloudiness,cod,country,date,humidity,lat,lon,main_pressure,main_temp,sys_country,sys_id,sys_sunrise,sys_sunset,sys_type,temp_max,temp_min,timezone,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed
1346,Neuquen,3843123,42.0,200,AR,1573179512.0,51.0,-38.95,-68.06,1013,59,AR,8310,1573118210,1573168500,1,59.0,59,-10800,10000,scattered clouds,03n,802,Clouds,356,4.29
1347,Sala Consilina,NaN,0.0,NaN,IT,1573179666.0,91.0,40.4,15.6,NaN,NaN,IT,NaN,NaN,NaN,NaN,43.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.16
1348,Pestretsy,510342,75.0,200,RU,1573179667.0,74.0,55.75,49.66,1018,30.2,RU,9038,1573185664,1573217347,1,30.2,30.2,10800,10000,broken clouds,04n,803,Clouds,20,8.95
1349,Vanavara,NaN,100.0,NaN,RU,1573179668.0,94.0,60.35,102.28,NaN,NaN,RU,NaN,NaN,NaN,NaN,28.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.04
1350,Manono,NaN,100.0,NaN,CD,1573179669.0,94.0,-7.3,27.4,NaN,NaN,CD,NaN,NaN,NaN,NaN,67.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.25
1351,Shangrao,NaN,0.0,NaN,CN,1573179670.0,52.0,28.45,117.97,NaN,NaN,CN,NaN,NaN,NaN,NaN,66.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.1
1352,Juneau,5554072,90.0,200,US,1573179472.0,93.0,58.3,-134.42,1009,41.97,US,7729,1573144020,1573174544,1,42.8,41,-32400,16093,overcast clouds,04n,804,Clouds,17,1.36
1353,Bocaiuva,NaN,0.0,NaN,BR,1573179672.0,49.0,-17.12,-43.81,NaN,NaN,BR,NaN,NaN,NaN,NaN,72.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.71
1354,Sola,NaN,60.0,NaN,TZ,1573179674.0,76.0,-3.17,33.8,NaN,NaN,TZ,NaN,NaN,NaN,NaN,68.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.33
1355,Tucupita,NaN,76.0,NaN,VE,1573179675.0,95.0,9.06,-62.05,NaN,NaN,VE,NaN,NaN,NaN,NaN,74.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.95
1356,Rieti,3169412,44.0,200,IT,1573179676.0,86.0,42.4,12.86,NaN,NaN,IT,6801,1573192206,1573228469,1,33.8,NaN,3600,NaN,NaN,NaN,NaN,NaN,NaN,3.36
1357,Coracao de Jesus,NaN,0.0,NaN,BR,1573179618.0,44.0,-16.69,-44.37,NaN,NaN,BR,NaN,NaN,NaN,NaN,75.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.33
1358,Sorong,NaN,0.0,NaN,ID,1573179679.0,44.0,-0.86,131.25,NaN,NaN,ID,NaN,NaN,NaN,NaN,94.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.55
1359,Gizo,6693679,0.0,200,IL,1573179681.0,55.0,31.8,34.94,NaN,NaN,IL,6845,1573185723,1573224354,1,62.6,NaN,7200,10000,clear sky,01n,800,Clear,NaN,2.24
1360,Bensonville,2278682,75.0,200,LR,1573179682.0,94.0,6.45,-10.61,1009,77,LR,2389,1573194622,1573237320,1,77.0,77,0,10000,broken clouds,04n,803,Clouds,3,1.99
1361,Muskegon,5003132,90.0,200,US,1573179499.0,58.0,43.23,-86.25,1029,26.6,US,4912,1573129645,1573165797,1,28.4,23,-18000,16093,light snow,13n,600,Snow,300,8.05
1362,Ushtobe,NaN,0.0,NaN,KZ,1573179685.0,61.0,45.25,77.98,NaN,NaN,KZ,NaN,NaN,NaN,NaN,36.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95
1363,Jalingo,NaN,19.0,NaN,NG,1573179686.0,30.0,10.3,10.93,NaN,NaN,NG,NaN,NaN,NaN,NaN,72.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.89
1364,Mokhsogollokh,NaN,97.0,NaN,RU,1573179687.0,86.0,61.4,128.95,NaN,NaN,RU,NaN,NaN,NaN,NaN,-3.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64
1365,Victoria,1733782,75.0,200,BN,1573179688.0,79.0,5.28,115.24,NaN,NaN,BN,9372,1573164330,1573207200,1,84.2,NaN,28800,10000,broken clouds,04d,803,Clouds,NaN,3.36
1366,Nanga Eboko,NaN,100.0,NaN,CM,1573179689.0,99.0,4.68,12.37,NaN,NaN,CM,NaN,NaN,NaN,NaN,67.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.54
1367,Bykovo,NaN,100.0,NaN,RU,1573179690.0,87.0,49.76,45.39,NaN,NaN,RU,NaN,NaN,NaN,NaN,51.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.29
1368,Bintulu,1737486,75.0,200,MY,1573179602.0,79.0,3.17,113.03,NaN,NaN,MY,9365,1573164712,1573207880,1,86.0,NaN,28800,10000,broken clouds,04d,803,Clouds,NaN,4.7
1369,Stade,2829901,0.0,200,DE,1573179692.0,87.0,53.6,9.48,1004,42.8,DE,1263,1573194845,1573227453,1,42.8,42.8,3600,10000,clear sky,01n,800,Clear,210,9.17
1370,Bandarban,1185270,90.0,200,BD,1573179694.0,94.0,22.2,92.22,1012,80.6,BD,9142,1573171121,1573211459,1,80.6,80.6,21600,4500,haze,50d,721,Haze,32,6.64
1371,Phalodi,NaN,0.0,NaN,IN,1573179695.0,37.0,27.13,72.36,NaN,NaN,IN,NaN,NaN,NaN,NaN,70.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.47
1372,Makhinjauri,613125,0.0,200,GE,1573179696.0,51.0,41.67,41.69,1016,59,GE,8858,1573185187,1573221649,1,59.0,59,14400,10000,clear sky,01n,800,Clear,130,23.04
1373,Oktyabrskiy,515873,90.0,200,RU,1573179697.0,86.0,55.61,37.97,1016,38.73,RU,9020,1573188441,1573220181,1,41.0,35.6,10800,10000,overcast clouds,04n,804,Clouds,70,4.47
1374,Lodwar,NaN,2.0,NaN,KE,1573179698.0,62.0,3.12,35.6,NaN,NaN,KE,NaN,NaN,NaN,NaN,80.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.34
1375,Chitungwiza,NaN,27.0,NaN,ZW,1573179699.0,50.0,-18.01,31.07,NaN,NaN,ZW,NaN,NaN,NaN,NaN,68.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.43
1376,Turayf,101312,0.0,200,SA,1573179700.0,87.0,31.68,38.65,1018,55.4,SA,7432,1573184820,1573223475,1,55.4,55.4,10800,10000,clear sky,01n,800,Clear,90,11.41
1377,Aitape,NaN,100.0,NaN,PG,1573179701.0,71.0,-3.15,142.36,NaN,NaN,PG,NaN,NaN,NaN,NaN,82.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.04
1378,Ayagoz,NaN,98.0,NaN,KZ,1573179702.0,93.0,47.96,80.43,NaN,NaN,KZ,NaN,NaN,NaN,NaN,28.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.92
1379,San Onofre,NaN,100.0,NaN,CO,1573179703.0,91.0,9.74,-75.52,NaN,NaN,CO,NaN,NaN,NaN,NaN,78.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.74
1380,Corrente,NaN,0.0,NaN,BR,1573179705.0,46.0,-17.45,-44.68,NaN,NaN,BR,NaN,NaN,NaN,NaN,74.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.35
1381,Cochrane,NaN,14.0,NaN,CL,1573179642.0,96.0,-47.25,-72.57,NaN,NaN,CL,NaN,NaN,NaN,NaN,23.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.51
1382,Iberia,NaN,100.0,NaN,PE,1573179707.0,91.0,-11.41,-69.49,NaN,NaN,PE,NaN,NaN,NaN,NaN,74.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.99
1383,Muzhi,NaN,0.0,NaN,RU,1573179708.0,85.0,65.4,64.7,NaN,NaN,RU,NaN,NaN,NaN,NaN,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.41
1384,Ardakan,143073,8.0,200,IR,1573179709.0,39.0,32.31,54.02,1022,48.2,IR,7511,1573181190,1573219727,1,48.2,48.2,12600,10000,clear sky,01n,800,Clear,250,4.7
1385,Padilla,3673407,40.0,200,CO,1573179710.0,73.0,3.23,-76.31,1012,75.2,CO,8590,1573123754,1573166917,1,75.2,75.2,-18000,10000,scattered clouds,03n,802,Clouds,330,13.87
1386,Nouadhibou,2377457,99.0,200,MR,1573179712.0,88.0,20.93,-17.03,1013,64.4,MR,2444,1573197249,1573237774,1,64.4,64.4,0,8000,overcast clouds,04n,804,Clouds,10,14.99
1387,Oksfjord,778362,0.0,200,NO,1573179713.0,85.0,70.24,22.35,1018,14.22,NO,1606,1573198721,1573217399,1,17.6,10.4,3600,10000,clear sky,01n,800,Clear,190,10.29
1388,Marienburg,2803461,100.0,200,DE,1573179714.0,81.0,52.12,9.98,1005,42.33,DE,1276,1573194428,1573227630,1,42.8,41,3600,10000,overcast clouds,04n,804,Clouds,150,4.7
1389,Datia,NaN,0.0,NaN,IN,1573179716.0,46.0,25.66,78.46,NaN,NaN,IN,NaN,NaN,NaN,NaN,75.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.74
1390,Bourail,NaN,0.0,NaN,NC,1573179717.0,49.0,-21.57,165.5,NaN,NaN,NC,NaN,NaN,NaN,NaN,78.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.09
1391,Bondo,NaN,100.0,NaN,CD,1573179718.0,95.0,3.81,23.69,NaN,NaN,CD,NaN,NaN,NaN,NaN,66.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72
1392,Istok,NaN,0.0,NaN,PL,1573179719.0,96.0,52.66,23.48,NaN,NaN,PL,NaN,NaN,NaN,NaN,41.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.03
1393,Shaunavon,NaN,97.0,NaN,CA,1573179720.0,81.0,49.65,-108.41,NaN,NaN,CA,NaN,NaN,NaN,NaN,22.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.56
1394,Standerton,NaN,0.0,NaN,ZA,1573179721.0,73.0,-26.94,29.24,NaN,NaN,ZA,NaN,NaN,NaN,NaN,59.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.05
1395,Nueva Helvecia,NaN,0.0,NaN,UY,1573179722.0,66.0,-34.28,-57.23,NaN,NaN,UY,NaN,NaN,NaN,NaN,59.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57
1396,Kampene,NaN,100.0,NaN,CD,1573179723.0,98.0,-3.59,26.67,NaN,NaN,CD,NaN,NaN,NaN,NaN,67.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.32
1397,Abaza,NaN,26.0,NaN,RU,1573179724.0,82.0,52.65,90.1,NaN,NaN,RU,NaN,NaN,NaN,NaN,28.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.46
1398,Port Augusta,2063056,75.0,200,AU,1573179727.0,51.0,-32.49,137.76,1017,62.6,AU,9613,1573155921,1573204799,1,62.6,62.6,37800,10000,broken clouds,04d,803,Clouds,190,24.16
1399,Nehe,NaN,0.0,NaN,CN,1573179728.0,32.0,48.48,124.88,NaN,NaN,CN,NaN,NaN,NaN,NaN,27.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.42
1400,Salento,3670352,40.0,200,CO,1573179729.0,88.0,4.64,-75.57,1015,72.84,CO,8610,1573123675,1573166640,1,75.2,71.6,-18000,10000,scattered clouds,03n,802,Clouds,100,9.17
1401,Buenos Aires,3435910,40.0,200,AR,1573179552.0,67.0,-34.61,-58.44,1015,61.99,AR,8224,1573116405,1573165687,1,64.4,59,-10800,10000,scattered clouds,03n,802,Clouds,130,16.11
1402,Kuito,NaN,100.0,NaN,AO,1573179731.0,95.0,-12.38,16.94,NaN,NaN,AO,NaN,NaN,NaN,NaN,59.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.68
1403,Devrek,NaN,36.0,NaN,TR,1573179732.0,53.0,41.22,31.96,NaN,NaN,TR,NaN,NaN,NaN,NaN,50.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.55
